"","Gene","count","Disease_specificity"
"1","PARN",476,0.10450054884742
"2","PQBP1",602,0.132162458836443
"3","SMARCAL1",296,0.0649835345773875
"4","FLNB",1281,0.281229418221734
"5","MCPH1",117,0.0256860592755214
"6","ATP6V1A",612,0.134357848518112
"7","DYM",422,0.0926454445664105
"8","PIEZO1",269,0.0590559824368825
"9","DNM1",234,0.0513721185510428
"10","ASXL3",276,0.0605927552140505
"11","ADARB1",150,0.0329308452250274
"12","PEX6",885,0.194291986827662
"13","MMP13",327,0.0717892425905598
"14","CENPT",110,0.0241492864983535
"15","NSD1",807,0.177167947310648
"16","ARX",1105,0.242590559824369
"17","AGPS",44,0.00965971459934138
"18","SNRPN",1665,0.365532381997805
"19","PROP1",377,0.0827661909989023
"20","MEIS2",261,0.0572996706915477
"21","DPP6",109,0.0239297475301866
"22","GPX4",284,0.0623490669593853
"23","SEC24D",200,0.0439077936333699
"24","PUM1",93,0.020417124039517
"25","SOX2",406,0.0891328210757409
"26","PTEN",1638,0.3596048298573
"27","FANCA",515,0.113062568605928
"28","ERCC2",1214,0.266520307354555
"29","HES7",225,0.0493962678375412
"30","ORC4",327,0.0717892425905598
"31","H19",331,0.0726673984632272
"32","DYNC2LI1",401,0.0880351262349067
"33","PEX5",843,0.185071350164654
"34","NDN",1072,0.235345773874863
"35","KRAS",1807,0.396706915477497
"36","ERCC3",791,0.173655323819978
"37","SOS2",289,0.0634467618002195
"38","RET",971,0.213172338090011
"39","ALOX12B",228,0.0500548847420417
"40","CD96",461,0.101207464324918
"41","COMP",497,0.109110867178924
"42","TRPV4",1064,0.233589462129528
"43","DALRD3",199,0.0436882546652031
"44","FARSA",125,0.0274423710208562
"45","B4GALT7",338,0.0742041712403952
"46","STIL",115,0.0252469813391877
"47","NOTCH2",627,0.137650933040615
"48","PIEZO2",1043,0.228979143798024
"49","IFIH1",551,0.120965971459934
"50","CTCF",425,0.0933040614709111
"51","RAD21",537,0.117892425905598
"52","COL2A1",2490,0.546652030735456
"53","EPRS1",109,0.0239297475301866
"54","FKBP10",271,0.0594950603732162
"55","MAPRE2",302,0.0663007683863886
"56","TSHR",349,0.0766190998902305
"57","SMC3",635,0.13940724478595
"58","CTBP1",435,0.0954994511525796
"59","HK1",383,0.0840834248079034
"60","AP3B2",251,0.0551042810098793
"61","FZD2",518,0.113721185510428
"62","GMNN",417,0.0915477497255763
"63","NLRP3",784,0.17211855104281
"64","ENPP1",663,0.145554335894621
"65","RTTN",369,0.0810098792535675
"66","KANSL1",1097,0.240834248079034
"67","RPL15",289,0.0634467618002195
"68","POLG",1430,0.313940724478595
"69","CAV1",511,0.11218441273326
"70","TRAPPC2",155,0.0340285400658617
"71","MORC2",380,0.0834248079034029
"72","EFTUD2",293,0.0643249176728869
"73","KMT2A",737,0.161800219538968
"74","SECISBP2",19,0.00417124039517014
"75","ADA2",615,0.135016465422613
"76","MED12",1198,0.263007683863886
"77","SPIDR",107,0.0234906695938529
"78","DSE",370,0.0812294182217344
"79","STXBP1",1088,0.238858397365532
"80","GLB1",721,0.158287596048299
